Gene,Gene Length BP
ENSG00000187266.14,1527
ENSG00000205517.12,2133
ENSG00000198003.12,1788
ENSG00000130175.9,1587
ENSG00000196361.10,1104
ENSG00000161914.10,1848
ENSG00000130159.14,1296
ENSG00000130176.8,894
ENSG00000130165.10,252
ENSG00000102575.13,978
ENSG00000198551.10,1386
ENSG00000197933.13,1833
ENSG00000197044.11,2082
ENSG00000177599.13,1314
ENSG00000171295.13,1788
ENSG00000171291.8,1500
ENSG00000198429.10,1701
ENSG00000267179.1,1245
ENSG00000196757.8,2229
ENSG00000197054.12,1194
ENSG00000286098.1,1905
ENSG00000197647.11,2022
ENSG00000257355.1,231
ENSG00000257446.4,1596
ENSG00000223547.10,2001
ENSG00000132010.16,1599
ENSG00000213297.8,378
ENSG00000257591.6,1119
ENSG00000196646.12,1623
ENSG00000197857.14,1848
ENSG00000188868.14,1431
ENSG00000198342.10,1884
ENSG00000196466.10,1932
ENSG00000180855.16,2016
ENSG00000269755.1,243
ENSG00000242852.7,1926
ENSG00000196826.7,1926
ENSG00000249709.8,1662
ENSG00000188033.10,1590
ENSG00000173875.14,1731
ENSG00000104774.13,3036
ENSG00000123154.12,948
ENSG00000285589.1,414
ENSG00000105583.11,321
ENSG00000095059.16,1110
ENSG00000283980.1,210
ENSG00000132004.13,1377
ENSG00000105576.15,2694
ENSG00000123144.11,531
ENSG00000198356.12,1047
ENSG00000039987.7,1530
ENSG00000095066.11,2160
ENSG00000171223.6,1044
ENSG00000167815.12,597
ENSG00000284491.2,348
ENSG00000104889.7,900
ENSG00000132026.14,786
ENSG00000105613.10,4713
ENSG00000105612.9,1083
ENSG00000105610.6,1089
ENSG00000105607.13,1317
ENSG00000161860.8,657
ENSG00000179115.11,1527
ENSG00000179218.14,1254
ENSG00000179262.10,1092
ENSG00000179271.3,669
ENSG00000179284.5,570
ENSG00000008441.16,1509
ENSG00000104903.5,843
ENSG00000104907.12,1980
ENSG00000037757.14,1110
ENSG00000104979.9,300
ENSG00000132003.9,2970
ENSG00000187556.7,579
ENSG00000132016.11,1914
ENSG00000132024.17,2856
ENSG00000132017.10,1803
ENSG00000132005.9,2940
ENSG00000171136.7,429
ENSG00000104998.4,1911
ENSG00000187867.10,2022
ENSG00000141854.9,660
ENSG00000141858.12,1299
ENSG00000072062.14,1056
ENSG00000105011.9,609
ENSG00000072071.16,4410
ENSG00000123146.20,2508
ENSG00000123136.15,1284
ENSG00000123143.13,2847
ENSG00000160951.4,1209
ENSG00000123159.16,1002
ENSG00000132002.8,1023
ENSG00000099797.15,927
ENSG00000099795.7,414
ENSG00000187912.12,1137
ENSG00000131355.15,1959
ENSG00000160961.12,1998
ENSG00000127507.18,2472
ENSG00000127530.4,963
ENSG00000188269.9,960
ENSG00000127515.2,930
ENSG00000185385.4,930
ENSG00000127529.7,960
ENSG00000160994.4,1500
ENSG00000105141.6,729
ENSG00000094661.3,1068
ENSG00000105137.13,2208
ENSG00000105135.16,1899
ENSG00000074181.9,6966
ENSG00000105131.8,1083
ENSG00000141867.17,4089
ENSG00000105127.9,2079
ENSG00000011243.18,1941
ENSG00000011451.21,5670
ENSG00000105122.13,3036
ENSG00000161031.13,1731
ENSG00000171954.13,1596
ENSG00000186526.13,1563
ENSG00000186529.16,1563
ENSG00000186204.15,1575
ENSG00000171942.4,948
ENSG00000171936.2,951
ENSG00000172519.9,948
ENSG00000186723.4,957
ENSG00000186115.13,1563
ENSG00000176231.2,951
ENSG00000167460.17,747
ENSG00000167461.12,624
ENSG00000196684.12,1059
ENSG00000141977.9,564
ENSG00000105058.12,339
ENSG00000072958.8,1272
ENSG00000127528.6,1068
ENSG00000127527.14,2733
ENSG00000269058.6,1155
ENSG00000141979.4,1284
ENSG00000105072.9,1974
ENSG00000085872.15,2751
ENSG00000127526.15,1233
ENSG00000105085.11,1803
ENSG00000214046.8,228
ENSG00000072954.7,900
ENSG00000188039.15,4695
ENSG00000127511.9,3489
ENSG00000127533.4,1158
ENSG00000160111.13,5799
ENSG00000131351.15,1233
ENSG00000099331.13,6069
ENSG00000053501.13,780
ENSG00000099330.9,795
ENSG00000160113.5,1215
ENSG00000130307.12,2112
ENSG00000269307.1,327
ENSG00000105393.16,990
ENSG00000160117.16,2010
ENSG00000127220.6,1320
ENSG00000130312.6,279
ENSG00000130311.11,309
ENSG00000074855.11,3699
ENSG00000130299.17,1575
ENSG00000130300.9,1329
ENSG00000269720.2,705
ENSG00000130303.13,543
ENSG00000141971.13,822
ENSG00000188051.7,876
ENSG00000171773.3,639
ENSG00000130304.17,1941
ENSG00000130313.7,777
ENSG00000167483.18,2094
ENSG00000130309.11,1869
ENSG00000130477.15,5112
ENSG00000130479.11,3180
ENSG00000130475.14,2670
ENSG00000179913.11,1119
ENSG00000248099.4,396
ENSG00000105639.19,3375
ENSG00000105640.13,531
ENSG00000105641.4,1932
ENSG00000007080.11,672
ENSG00000105642.15,1632
ENSG00000105643.10,1224
ENSG00000096996.16,1989
ENSG00000099308.10,3930
ENSG00000268173.3,2187
ENSG00000105647.18,2187
ENSG00000254858.10,621
ENSG00000105649.10,663
ENSG00000285188.1,2139
ENSG00000284797.1,705
ENSG00000130518.17,3543
ENSG00000130522.6,1044
ENSG00000130520.11,420
ENSG00000130517.14,630
ENSG00000130511.16,1158
ENSG00000105655.19,1677
ENSG00000105656.13,1866
ENSG00000105700.11,531
ENSG00000221983.8,387
ENSG00000006015.17,540
ENSG00000006016.11,1269
ENSG00000105696.9,1029
ENSG00000167487.12,1848
ENSG00000105664.11,2274
ENSG00000005007.13,3357
ENSG00000223802.7,1053
ENSG00000130283.9,1119
ENSG00000105669.14,927
ENSG00000105671.12,1452
ENSG00000051128.19,1086
ENSG00000064607.17,3249
ENSG00000105676.14,1431
ENSG00000181035.14,957
ENSG00000064545.15,1440
ENSG00000213999.17,1107
ENSG00000064489.23,1149
ENSG00000254901.8,360
ENSG00000064490.14,783
ENSG00000130287.14,3966
ENSG00000187664.9,1209
ENSG00000213996.13,1134
ENSG00000105705.16,1938
ENSG00000129933.21,1842
ENSG00000167491.17,1902
ENSG00000178093.14,822
ENSG00000186010.19,435
ENSG00000258674.5,822
ENSG00000250067.12,900
ENSG00000160161.9,3471
ENSG00000105717.14,1125
ENSG00000064547.14,1056
ENSG00000089639.11,2913
ENSG00000105726.17,3615
ENSG00000181896.12,1311
ENSG00000105708.9,1929
ENSG00000081665.14,1335
ENSG00000256771.4,1500
ENSG00000184635.16,1863
ENSG00000197124.12,1497
ENSG00000213988.11,1806
ENSG00000256229.8,1392
ENSG00000237440.9,1611
ENSG00000188171.16,1623
ENSG00000160229.13,1722
ENSG00000105750.15,1788
ENSG00000118620.13,1713
ENSG00000160352.16,1668
ENSG00000196705.8,1731
ENSG00000182141.10,1692
ENSG00000172687.13,414
ENSG00000196268.11,2325
ENSG00000197013.10,2025
ENSG00000197020.11,1701
ENSG00000198521.12,2430
ENSG00000160321.15,3843
ENSG00000197134.13,1692
ENSG00000196109.9,1863
ENSG00000196350.9,3759
ENSG00000197360.9,1719
ENSG00000229676.3,1596
ENSG00000213973.9,3114
ENSG00000268696.3,1542
ENSG00000269067.2,1869
ENSG00000183850.14,1512
ENSG00000196081.10,1860
ENSG00000167232.14,3576
ENSG00000197372.10,1707
ENSG00000196172.9,1938
ENSG00000213967.11,2217
ENSG00000213096.10,1980
ENSG00000169021.6,825
ENSG00000187135.7,858
ENSG00000105171.10,663
ENSG00000166289.6,840
ENSG00000131943.18,426
ENSG00000105173.14,1233
ENSG00000105176.18,1608
ENSG00000198597.9,3903
ENSG00000121297.8,3246
ENSG00000168813.17,2862
ENSG00000178904.19,2151
ENSG00000105185.12,378
ENSG00000105186.16,3153
ENSG00000186326.4,708
ENSG00000213965.3,1128
ENSG00000173809.18,4008
ENSG00000021488.13,1464
ENSG00000121289.18,2352
ENSG00000131944.10,648
ENSG00000131941.8,2061
ENSG00000076650.7,2796
ENSG00000166359.11,1419
ENSG00000130881.14,2313
ENSG00000130876.11,1572
ENSG00000245848.3,1077
ENSG00000153879.9,453
ENSG00000124299.15,1482
ENSG00000124302.13,1275
ENSG00000153885.14,852
ENSG00000257103.8,1392
ENSG00000166398.13,3213
ENSG00000105220.17,1677
ENSG00000126249.8,1077
ENSG00000126261.13,1923
ENSG00000142279.13,1293
ENSG00000205209.7,291
ENSG00000089335.21,1200
ENSG00000197841.15,1716
ENSG00000153896.19,1767
ENSG00000168661.14,1875
ENSG00000180884.10,1899
ENSG00000089351.14,2175
ENSG00000105711.12,657
ENSG00000105707.14,1254
ENSG00000089356.18,264
ENSG00000153902.14,1614
ENSG00000266964.5,279
ENSG00000221946.8,243
ENSG00000089327.15,537
ENSG00000177558.3,1110
ENSG00000105699.16,1950
ENSG00000105698.16,1041
ENSG00000105697.9,255
ENSG00000105695.15,1881
ENSG00000012124.17,2544
ENSG00000126266.3,903
ENSG00000185897.7,1041
ENSG00000126251.6,1041
ENSG00000126262.4,993
ENSG00000188508.11,300
ENSG00000161249.21,555
ENSG00000189001.11,744
ENSG00000105679.9,1227
ENSG00000105677.12,675
ENSG00000105675.9,3108
ENSG00000249115.9,1902
ENSG00000126254.12,1443
ENSG00000105672.14,1029
ENSG00000126267.11,261
ENSG00000105668.7,777
ENSG00000011590.14,1464
ENSG00000272333.7,8148
ENSG00000126246.10,1068
ENSG00000267120.3,294
ENSG00000161265.15,663
ENSG00000205155.8,306
ENSG00000188223.9,168
ENSG00000267796.8,741
ENSG00000004776.13,483
ENSG00000167595.15,1443
ENSG00000004777.18,3381
ENSG00000250799.10,1611
ENSG00000161270.19,3726
ENSG00000126259.19,2127
ENSG00000105290.13,1956
ENSG00000167604.14,942
ENSG00000126264.10,282
ENSG00000011600.12,342
ENSG00000126243.9,1887
ENSG00000205138.3,348
ENSG00000181392.17,1215
ENSG00000239382.10,801
ENSG00000105270.15,1644
ENSG00000161277.11,825
ENSG00000075702.18,4557
ENSG00000105261.7,573
ENSG00000105258.9,378
ENSG00000105254.12,735
ENSG00000126247.11,807
ENSG00000161281.11,240
ENSG00000196357.12,1500
ENSG00000167635.11,879
ENSG00000142065.14,1602
ENSG00000181007.9,1599
ENSG00000186017.14,1257
ENSG00000254004.7,1239
ENSG00000186020.13,1692
ENSG00000161298.18,1653
ENSG00000197808.12,1692
ENSG00000189042.13,1944
ENSG00000267041.6,3273
ENSG00000197863.9,1911
ENSG00000251247.11,1467
ENSG00000185869.14,1299
ENSG00000198453.13,1935
ENSG00000197050.11,2067
ENSG00000196967.11,2310
ENSG00000267360.6,447
ENSG00000245680.10,2310
ENSG00000188283.11,1428
ENSG00000181666.18,1980
ENSG00000189164.15,1830
ENSG00000196437.12,2061
ENSG00000171827.10,1611
ENSG00000188227.13,1221
ENSG00000180479.14,1830
ENSG00000171817.17,1983
ENSG00000120784.16,1560
ENSG00000196381.11,984
ENSG00000267552.6,393
ENSG00000198182.13,2091
ENSG00000189144.13,1998
ENSG00000171804.11,8622
ENSG00000105738.11,5346
ENSG00000011332.19,1245
ENSG00000167641.11,444
ENSG00000167642.13,759
ENSG00000167645.17,945
ENSG00000167644.12,321
ENSG00000099337.5,942
ENSG00000099338.23,3480
ENSG00000099341.11,1053
ENSG00000179168.15,1959
ENSG00000188766.12,1233
ENSG00000130244.12,1050
ENSG00000171777.16,2022
ENSG00000196218.13,15117
ENSG00000104814.13,2466
ENSG00000178982.10,657
ENSG00000130402.12,2736
ENSG00000182472.9,2160
ENSG00000205076.4,411
ENSG00000178934.5,411
ENSG00000171747.9,972
ENSG00000104823.9,987
ENSG00000187994.14,1359
ENSG00000068903.20,1170
ENSG00000104825.17,1071
ENSG00000262484.1,801
ENSG00000104835.15,1557
ENSG00000128626.11,417
ENSG00000269190.6,837
ENSG00000161243.9,852
ENSG00000183760.11,1317
ENSG00000130669.17,1776
ENSG00000188505.5,828
ENSG00000179751.7,405
ENSG00000197110.9,591
ENSG00000183709.8,603
ENSG00000182393.3,603
ENSG00000128011.4,2316
ENSG00000130755.13,429
ENSG00000179134.15,2085
ENSG00000006712.15,1596
ENSG00000063322.15,666
ENSG00000128016.7,999
ENSG00000090924.15,4161
ENSG00000105193.9,441
ENSG00000196235.14,3264
ENSG00000105197.11,1371
ENSG00000090932.11,1764
ENSG00000186838.13,1041
ENSG00000176401.6,486
ENSG00000176396.11,711
ENSG00000105198.11,420
ENSG00000249861.4,429
ENSG00000006659.13,507
ENSG00000105205.7,429
ENSG00000213921.7,597
ENSG00000105204.14,1890
ENSG00000105202.9,966
ENSG00000275395.6,12615
ENSG00000013275.8,1257
ENSG00000187187.14,2511
ENSG00000128000.16,2502
ENSG00000197782.14,1926
ENSG00000130758.8,2865
ENSG00000174521.7,720
ENSG00000105219.10,990
ENSG00000105221.18,1446
ENSG00000160392.13,1269
ENSG00000105223.20,1473
ENSG00000160396.9,1851
ENSG00000105227.15,444
ENSG00000197019.5,711
ENSG00000167565.13,591
ENSG00000090013.11,621
ENSG00000160460.16,7695
ENSG00000160410.15,2124
ENSG00000090006.18,4875
ENSG00000105245.9,1830
ENSG00000123815.12,1635
ENSG00000086544.3,2052
ENSG00000188493.15,1056
ENSG00000077312.9,849
ENSG00000268975.2,396
ENSG00000261857.7,396
ENSG00000167578.18,642
ENSG00000171570.11,642
ENSG00000269858.6,1224
ENSG00000255974.8,1485
ENSG00000198077.10,1485
ENSG00000197408.10,1476
ENSG00000197838.5,1485
ENSG00000197446.9,1476
ENSG00000167600.14,1515
ENSG00000167601.12,2685
ENSG00000105323.17,2571
ENSG00000142039.4,1032
ENSG00000105329.10,1173
ENSG00000123810.8,528
ENSG00000142046.15,519
ENSG00000255730.5,1440
ENSG00000077348.9,708
ENSG00000248098.12,1338
ENSG00000177191.2,1194
ENSG00000105341.18,774
ENSG00000007129.18,882
ENSG00000105352.10,735
ENSG00000007306.15,798
ENSG00000105388.16,2109
ENSG00000086548.9,1035
ENSG00000170956.17,759
ENSG00000273111.6,741
ENSG00000142025.16,1104
ENSG00000105372.8,438
ENSG00000105369.10,681
ENSG00000076928.18,2784
ENSG00000268041.2,1065
ENSG00000105404.11,558
ENSG00000285505.1,3033
ENSG00000105409.19,3042
ENSG00000105737.9,2943
ENSG00000105732.13,2691
ENSG00000028277.21,1392
ENSG00000160570.14,981
ENSG00000167625.11,2013
ENSG00000105723.12,1452
ENSG00000105722.10,1647
ENSG00000079462.7,696
ENSG00000188368.9,1071
ENSG00000167619.13,1692
ENSG00000105429.13,8337
ENSG00000105427.10,339
ENSG00000079435.10,3231
ENSG00000189377.9,360
ENSG00000079385.22,1581
ENSG00000124469.12,1050
ENSG00000221826.10,1287
ENSG00000124467.19,1281
ENSG00000231924.9,1281
ENSG00000170848.16,1308
ENSG00000221878.13,1281
ENSG00000243130.8,1008
ENSG00000242221.9,1008
ENSG00000204941.14,1287
ENSG00000243137.8,1260
ENSG00000183668.18,1281
ENSG00000204936.10,1314
ENSG00000131126.18,804
ENSG00000124466.9,1041
ENSG00000176531.10,1923
ENSG00000105755.8,765
ENSG00000176472.10,738
ENSG00000073050.12,1902
ENSG00000234465.11,687
ENSG00000167378.8,1872
ENSG00000124444.16,513
ENSG00000131116.12,567
ENSG00000226763.5,2148
ENSG00000105767.3,1167
ENSG00000011422.12,1008
ENSG00000124449.7,1392
ENSG00000105771.14,1563
ENSG00000104783.14,1284
ENSG00000159871.15,627
ENSG00000167637.18,2040
ENSG00000176222.9,1659
ENSG00000124459.12,2049
ENSG00000159905.14,1854
ENSG00000204920.11,1617
ENSG00000159882.13,1425
ENSG00000267022.1,1797
ENSG00000159885.14,1356
ENSG00000178386.13,1449
ENSG00000186026.7,1782
ENSG00000267680.5,2124
ENSG00000256294.8,2121
ENSG00000263002.8,2103
ENSG00000167380.16,2412
ENSG00000131115.16,2400
ENSG00000159915.12,2013
ENSG00000159917.17,2217
ENSG00000062370.16,2724
ENSG00000267508.5,1773
ENSG00000278318.5,2478
ENSG00000167384.10,2079
ENSG00000273777.5,1791
ENSG00000216588.9,579
ENSG00000073008.15,1254
ENSG00000186567.13,903
ENSG00000213892.12,1278
ENSG00000069399.15,1365
ENSG00000142273.13,1425
ENSG00000187244.12,1887
ENSG00000130202.10,1440
ENSG00000130204.13,1086
ENSG00000130203.10,954
ENSG00000130208.9,252
ENSG00000267467.4,384
ENSG00000234906.11,306
ENSG00000104853.16,2010
ENSG00000104856.14,1740
ENSG00000104859.15,2025
ENSG00000170684.9,1428
ENSG00000142252.11,396
ENSG00000104866.11,2076
ENSG00000179846.9,1833
ENSG00000007255.10,480
ENSG00000189114.8,609
ENSG00000283632.3,2409
ENSG00000007047.15,2067
ENSG00000104879.5,1146
ENSG00000104892.17,1515
ENSG00000104884.16,2283
ENSG00000104881.16,2487
ENSG00000117877.10,1533
ENSG00000012061.16,894
ENSG00000125740.14,1017
ENSG00000125744.12,618
ENSG00000125753.14,1143
ENSG00000125741.5,540
ENSG00000177464.5,1089
ENSG00000125746.17,1950
ENSG00000010310.9,1401
ENSG00000125743.10,357
ENSG00000011478.12,1149
ENSG00000177051.6,1812
ENSG00000237452.3,1917
ENSG00000177045.10,2220
ENSG00000104936.18,1890
ENSG00000185800.12,2025
ENSG00000104941.8,2154
ENSG00000125755.19,3825
ENSG00000170608.3,1053
ENSG00000170604.5,1755
ENSG00000176182.6,1200
ENSG00000188425.4,417
ENSG00000104967.7,1479
ENSG00000104983.8,1539
ENSG00000008438.5,591
ENSG00000204869.8,375
ENSG00000188624.3,378
ENSG00000204866.8,393
ENSG00000188293.6,333
ENSG00000124440.15,2010
ENSG00000011485.15,1500
ENSG00000169515.8,1617
ENSG00000277531.2,615
ENSG00000182013.18,1320
ENSG00000204851.7,1908
ENSG00000230510.6,516
ENSG00000160014.17,450
ENSG00000160013.9,1161
ENSG00000167414.4,213
ENSG00000197380.11,1890
ENSG00000105287.12,2637
ENSG00000090372.15,2262
ENSG00000181027.11,1488
ENSG00000105281.12,1626
ENSG00000042753.12,429
ENSG00000160007.19,4500
ENSG00000130751.10,1773
ENSG00000130748.7,567
ENSG00000142230.13,1041
ENSG00000105327.18,582
ENSG00000105321.14,1596
ENSG00000257704.4,429
ENSG00000197405.8,1053
ENSG00000134830.6,1014
ENSG00000134815.19,3432
ENSG00000105419.18,1266
ENSG00000118160.14,2766
ENSG00000118162.14,1311
ENSG00000105402.8,888
ENSG00000118156.12,4041
ENSG00000063169.10,4683
ENSG00000024422.12,1632
ENSG00000105373.19,1437
ENSG00000178980.15,264
ENSG00000178928.8,1527
ENSG00000105392.16,900
ENSG00000105398.4,858
ENSG00000188334.3,399
ENSG00000169393.9,672
ENSG00000105507.3,522
ENSG00000105499.14,1626
ENSG00000105486.14,2760
ENSG00000185453.13,2763
ENSG00000105483.18,1464
ENSG00000178150.10,1254
ENSG00000105479.16,2013
ENSG00000142227.11,492
ENSG00000161558.11,1380
ENSG00000105467.9,705
ENSG00000105438.9,639
ENSG00000105464.3,4011
ENSG00000105447.13,1341
