hgnc_symbol,Gene Length BP
RAB11B,657
MARCHF2,741
HNRNPM,2193
PRAM1,2013
ZNF414,1173
MYO1F,3297
ADAMTS10,3312
NFILZ,870
ACTL9,1251
OR2Z1,945
ZNF558,1209
MBD3L1,585
MUC16,43524
OR1M1,942
OR7G2,1038
OR7G1,936
OR7G3,939
ZNF317,1788
OR7D2,939
OR7D4,939
OR7E24,1020
ZNF699,1929
ZNF559,1617
ZNF559-ZNF177,966
ZNF177,966
ZNF266,1851
ZNF560,2373
ZNF426,1665
ZNF121,1173
ZNF561,1461
ZNF562,1281
ZNF846,1602
FBXL12,981
UBL5,222
PIN1,492
OLFM2,1365
COL5A3,5238
RDH8,996
SHFL,876
ANGPTL6,1413
PPAN,1422
PPAN-P2RY11,2385
P2RY11,1125
EIF3G,963
DNMT1,4851
S1PR2,1062
MRPL4,936
ICAM1,1599
ICAM4,816
ICAM5,2775
ZGLP1,816
,438
FDX2,561
RAVER1,2271
ICAM3,1644
TYK2,3564
CDC37,1137
PDE4A,2661
KEAP1,1875
S1PR5,1197
ATG4D,1425
KRI1,2130
CDKN2D,501
AP1M2,1272
SLC44A2,2121
ILF3,2685
QTRT1,1212
DNM2,2601
TMED1,684
C19orf38,693
CARM1,1827
YIPF2,951
TIMM29,783
SMARCA4,4944
LDLR,2583
SPC24,594
KANK2,2556
DOCK6,6144
ANGPTL8,597
TSPAN16,738
RAB3D,660
TMEM205,570
CCDC159,894
PLPPR2,1032
SWSAP1,690
EPOR,1527
RGL3,2133
ODAD3,1788
PRKCSH,1587
ELAVL3,1104
ZNF653,1848
ECSIT,1296
CNN1,894
ELOF1,252
ACP5,978
ZNF627,1386
ZNF823,1833
ZNF441,2082
ZNF491,1314
ZNF440,1788
ZNF439,1500
ZNF69,1701
,1245
ZNF700,2229
ZNF763,1194
,1905
ZNF433,2022
,231
ZNF878,1596
ZNF844,2001
ZNF20,1599
ZNF625-ZNF20,378
ZNF625,1119
ZNF136,1623
ZNF44,1848
ZNF563,1431
ZNF442,1884
ZNF799,1932
ZNF443,2016
,243
ZNF709,1926
,1926
ZNF564,1662
ZNF490,1590
ZNF791,1731
MAN2B1,3036
WDR83,948
,414
WDR83OS,321
DHPS,1110
GNG14,210
FBXW9,1377
TNPO2,2694
TRIR,531
GET3,1047
BEST2,1530
HOOK2,2160
JUNB,1044
PRDX2,597
THSD8,348
RNASEH2A,900
RTBDN,786
MAST1,4713
DNASE2,1083
KLF1,1089
GCDH,1317
SYCE2,657
FARSA,1527
CALR,1254
RAD23A,1092
GADD45GIP1,669
DAND5,570
NFIX,1509
LYL1,843
TRMT1,1980
MRI1,1110
C19orf53,300
ZSWIM4,2970
NANOS3,579
BRME1,1914
CC2D1A,2856
DCAF15,1803
RFX1,2940
RLN3,429
IL27RA,1911
PALM3,2022
MISP3,660
SAMD1,1299
PRKACA,1056
ASF1B,609
ADGRL1,4410
ADGRE5,2508
DDX39A,1284
PKN1,2847
PTGER1,1209
GIPC1,1002
DNAJB1,1023
TECR,927
NDUFB7,414
CLEC17A,1137
ADGRE3,1959
ZNF333,1998
ADGRE2,2472
OR7C1,963
OR7A5,960
OR7A10,930
OR7A17,930
OR7C2,960
CCDC105,1500
CASP14,729
OR1I1,1068
SYDE1,2208
ILVBL,1899
NOTCH3,6966
EPHX3,1083
BRD4,4089
AKAP8,2079
AKAP8L,1941
WIZ,5670
RASAL3,3036
PGLYRP2,1731
CYP4F22,1596
CYP4F8,1563
CYP4F3,1563
CYP4F12,1575
OR10H2,948
OR10H3,951
OR10H5,948
OR10H1,957
CYP4F2,1563
OR10H4,951
TPM4,747
RAB8A,624
HSH2D,1059
CIB3,564
FAM32A,339
AP1M1,1272
KLF2,1068
EPS15L1,2733
CALR3,1155
,1284
C19orf44,1974
CHERP,2751
SLC35E1,1233
MED26,1803
SMIM7,228
TMEM38A,900
NWD1,4695
SIN3B,3489
F2RL3,1158
CPAMD8,5799
HAUS8,1233
MYO9B,6069
USE1,780
OCEL1,795
NR2F6,1215
USHBP1,2112
,327
BABAM1,990
ANKLE1,2010
ABHD8,1320
MRPL34,279
DDA1,309
ANO8,3699
GTPBP3,1575
PLVAP,1329
CCDC194,705
BST2,543
MVB12A,822
TMEM221,876
NXNL1,639
SLC27A1,1941
PGLS,777
NIBAN3,2094
COLGALT1,1869
UNC13A,5112
MAP1S,3180
FCHO1,2670
B3GNT3,1119
INSL3,396
JAK3,3375
RPL18A,531
SLC5A5,1932
CCDC124,672
KCNN1,1632
ARRDC2,1224
IL12RB1,1989
MAST3,3930
,2187
PIK3R2,2187
MPV17L2,621
RAB3A,663
,2139
,705
IQCN,3543
JUND,1044
LSM4,420
PGPEP1,630
SSBP4,1158
ISYNA1,1677
ELL,1866
KXD1,531
UBA52,387
REX1BD,540
CRLF1,1269
TMEM59L,1029
KLHL26,1848
COMP,2274
UPF1,3357
CERS1,1053
GDF1,1119
COPE,927
DDX49,1452
HOMER3,1086
SUGP2,3249
ARMC6,1431
SLC25A42,957
TMEM161A,1440
MEF2B,1107
BORCS8-MEF2B,1149
BORCS8,360
RFXANK,783
NCAN,3966
HAPLN4,1209
TM6SF2,1134
SUGP1,1938
MAU2,1842
GATAD2A,1902
TSSK6,822
NDUFA13,435
,822
YJEFN3,900
CILP2,3471
PBX4,1125
LPAR2,1056
GMIP,2913
ATP13A1,3615
ZNF101,1311
ZNF14,1929
ZNF506,1335
ZNF253,1500
ZNF93,1863
ZNF682,1497
ZNF90,1806
ZNF486,1392
ZNF737,1611
ZNF626,1623
ZNF66,1722
ZNF85,1788
ZNF430,1713
ZNF714,1668
ZNF431,1731
ZNF708,1692
ZNF738,414
ZNF493,2325
ZNF429,2025
ZNF100,1701
ZNF43,2430
ZNF208,3843
ZNF257,1692
ZNF676,1863
ZNF729,3759
ZNF98,1719
ZNF492,1596
ZNF99,3114
ZNF723,1542
ZNF728,1869
ZNF730,1512
ZNF724,1860
ZNF91,3576
ZNF675,1707
ZNF681,1938
ZNF726,2217
ZNF254,1980
UQCRFS1,825
VSTM2B,858
POP4,663
PLEKHF1,840
C19orf12,426
CCNE1,1233
URI1,1608
ZNF536,3903
TSHZ3,3246
ZNF507,2862
DPY19L3,2151
PDCD5,378
ANKRD27,3153
RGS9BP,708
NUDT19,1128
TDRD12,4008
SLC7A9,1464
CEP89,2352
FAAP24,648
RHPN2,2061
GPATCH1,2796
WDR88,1419
LRP3,2313
SLC7A10,1572
CEBPA,1077
CEBPG,453
PEPD,1482
CHST8,1275
KCTD15,852
LSM14A,1392
GARRE1,3213
GPI,1677
PDCD2L,1077
UBA2,1923
WTIP,1293
SCGB2B2,291
ZNF302,1200
ZNF181,1716
ZNF599,1767
ZNF30,1875
ZNF792,1899
GRAMD1A,2175
SCN1B,657
HPN,1254
FXYD3,264
LGI4,1614
FXYD1,279
FXYD7,243
FXYD5,537
FAM187B,1110
LSR,1950
USF2,1041
HAMP,255
MAG,1881
CD22,2544
FFAR1,903
FFAR3,1041
GPR42,1041
FFAR2,993
KRTDAP,300
DMKN,555
SBSN,744
GAPDHS,1227
TMEM147,675
ATP4A,3108
HAUS5,1902
RBM42,1443
ETV2,1029
COX6B1,261
UPK1A,777
ZBTB32,1464
KMT2B,8148
IGFLR1,1068
,294
U2AF1L4,663
PSENEN,306
,168
LIN37,741
HSPB6,483
PROSER3,1443
ARHGAP33,3381
PRODH2,1611
NPHS1,3726
KIRREL2,2127
APLP1,1956
NFKBID,942
HCST,282
TYROBP,342
LRFN3,1887
SDHAF1,348
SYNE4,1215
ALKBH6,801
CLIP3,1644
THAP8,825
WDR62,4557
OVOL3,573
POLR2I,378
TBCB,735
CAPNS1,807
COX7A1,240
ZNF565,1500
ZNF146,879
ZFP14,1602
ZFP82,1599
ZNF566,1257
ZNF260,1239
ZNF529,1692
ZNF382,1653
ZNF461,1692
ZNF567,1944
ZNF850,3273
ZNF790,1911
ZNF345,1467
ZNF829,1299
ZNF568,1935
ZNF420,2067
ZNF585A,2310
,447
ZNF585B,2310
ZNF383,1428
ZNF875,1980
ZNF527,1830
ZNF569,2061
ZNF570,1611
ZNF793,1221
ZNF571,1830
ZNF540,1983
ZFP30,1560
ZNF781,984
,393
ZNF607,2091
ZNF573,1998
WDR87,8622
SIPA1L3,5346
DPF1,1245
PPP1R14A,444
SPINT2,759
YIF1B,945
C19orf33,321
KCNK6,942
CATSPERG,3480
PSMD8,1053
GGN,1959
SPRED3,1233
FAM98C,1050
RASGRP4,2022
RYR1,15117
MAP4K1,2466
EIF3K,657
ACTN4,2736
CAPN12,2160
LGALS7,411
LGALS7B,411
LGALS4,972
ECH1,987
RINL,1359
SIRT2,1170
NFKBIB,1071
CCER2,801
SARS2,1557
MRPS12,417
FBXO17,837
FBXO27,852
ACP7,1317
PAK4,1776
NCCRP1,828
SYCN,405
IFNL3,591
IFNL2,603
IFNL1,603
LRFN1,2316
GMFG,429
SAMD4B,2085
PAF1,1596
MED29,666
ZFP36,999
PLEKHG2,4161
RPS16,441
SUPT5H,3264
TIMM50,1371
DLL3,1764
SELENOV,1041
EID2B,486
EID2,711
LGALS13,420
LGALS16,429
LGALS14,507
CLC,429
LEUTX,597
DYRK1B,1890
FBL,966
FCGBP,12615
PSMC4,1257
ZNF546,2511
ZNF780B,2502
ZNF780A,1926
MAP3K10,2865
TTC9B,720
CCNP,990
AKT2,1446
C19orf47,1269
PLD3,1473
HIPK4,1851
PRX,444
SERTAD1,711
SERTAD3,591
BLVRB,621
SPTBN4,7695
SHKBP1,2124
LTBP4,4875
NUMBL,1830
COQ8B,1635
ITPKC,2052
C19orf54,1056
SNRPA,849
MIA-RAB4B,396
MIA,396
RAB4B,642
RAB4B-EGLN2,642
EGLN2,1224
CYP2A6,1485
CYP2A7,1485
CYP2B6,1476
CYP2A13,1485
CYP2F1,1476
CYP2S1,1515
AXL,2685
HNRNPUL1,2571
CCDC97,1032
TGFB1,1173
B9D2,528
TMEM91,519
,1440
EXOSC5,708
BCKDHA,1338
B3GNT8,1194
DMAC2,774
CEACAM21,882
CEACAM4,735
CEACAM7,798
CEACAM5,2109
CEACAM6,1035
CEACAM3,759
LYPD4,741
DMRTC2,1104
RPS19,438
CD79A,681
ARHGEF1,2784
ERFL,1065
RABAC1,558
,3033
ATP1A3,3042
GRIK5,2943
ZNF574,2691
POU2F2,1392
DEDD2,981
ZNF526,2013
GSK3A,1452
ERF,1647
PAFAH1B3,696
PRR19,1071
TMEM145,1692
MEGF8,8337
CNFN,339
LIPE,3231
CXCL17,360
CEACAM1,1581
CEACAM8,1050
PSG3,1287
PSG8,1281
PSG1,1281
PSG6,1308
PSG7,1281
PSG11,1008
PSG2,1008
PSG5,1287
PSG4,1260
PSG9,1281
CD177,1314
TEX101,804
LYPD3,1041
PHLDB3,1923
ETHE1,765
ZNF575,738
XRCC1,1902
PINLYP,687
IRGQ,1872
ZNF576,513
ZNF428,567
SRRM5,2148
CADM4,1167
PLAUR,1008
IRGC,1392
SMG9,1563
KCNN4,1284
LYPD5,627
ZNF283,2040
ZNF404,1659
ZNF45,2049
ZNF221,1854
ZNF155,1617
ZNF230,1425
,1797
ZNF222,1356
ZNF223,1449
ZNF284,1782
ZNF224,2124
ZNF225,2121
ZNF234,2103
ZNF226,2412
ZNF227,2400
ZNF233,2013
ZNF235,2217
ZNF112,2724
ZNF285,1773
ZNF229,2478
ZNF180,2079
CEACAM20,1791
IGSF23,579
PVR,1254
CEACAM19,903
CEACAM16,1278
BCL3,1365
CBLC,1425
BCAM,1887
NECTIN2,1440
TOMM40,1086
APOE,954
APOC1,252
APOC4,384
APOC2,306
CLPTM1,2010
RELB,1740
CLASRP,2025
ZNF296,1428
GEMIN7,396
PPP1R37,2076
NKPD1,1833
TRAPPC6A,480
BLOC1S3,609
EXOC3L2,2409
MARK4,2067
CKM,1146
KLC3,1515
ERCC2,2283
PPP1R13L,2487
POLR1G,1533
ERCC1,894
FOSB,1017
RTN2,618
VASP,1143
OPA3,540
GPR4,1089
EML2,1950
GIPR,1401
SNRPD2,357
QPCTL,1149
FBXO46,1812
MEIOSIN,1917
SIX5,2220
DMPK,1890
DMWD,2025
RSPH6A,2154
SYMPK,3825
FOXA3,1053
IRF2BP1,1755
MYPOP,1200
NANOS2,417
NOVA2,1479
CCDC61,1539
PGLYRP1,591
IGFL4,375
IGFL3,378
IGFL2,393
IGFL1,333
HIF3A,2010
PPP5C,1500
CCDC8,1617
PNMA8C,615
PNMA8A,1320
PNMA8B,1908
PPP5D1P,516
CALM3,450
PTGIR,1161
GNG8,213
DACT3,1890
PRKD2,2637
STRN4,2262
FKRP,1488
SLC1A5,1626
AP2S1,429
ARHGAP35,4500
NPAS1,1773
TMEM160,567
SAE1,1041
BBC3,582
CCDC9,1596
INAFM1,429
C5AR1,1053
C5AR2,1014
DHX34,3432
MEIS3,1266
SLC8A2,2766
KPTN,1311
NAPA,888
ZNF541,4041
BICRA,4683
EHD2,1632
NOP53,1437
SELENOW,264
TPRX1,1527
CRX,900
SULT2A1,858
BSPH1,399
ELSPBP1,672
CABP5,522
PLA2G4C,1626
LIG1,2760
ZSWIM9,2763
CARD8,1464
ZNF114,1254
ODAD1,2013
EMP3,492
TMEM143,1380
SYNGR4,705
KDELR1,639
GRIN2D,4011
GRWD1,1341
KCNJ14,1311
CYTH2,1200
LMTK3,4470
SULT2B1,1098
FAM83E,1437
SPACA4,375
RPL18,567
SPHK2,1965
DBP,978
CA11,987
NTN5,1470
FUT2,1032
MAMSTR,939
RASIP1,2892
IZUMO1,1053
FUT1,1098
FGF21,630
BCAT2,1179
HSD17B14,813
PLEKHA4,2340
PPP1R15A,2025
TULP2,1563
NUCB1,1386
DHDH,1005
BAX,579
FTL,528
GYS1,2214
RUVBL2,1392
LHB,426
,1005
CGB3,498
CGB2,492
CGB1,468
CGB5,498
CGB8,498
CGB7,498
,462
NTF4,633
KCNA7,1371
SNRNP70,1314
LIN7B,624
C19orf73,390
PPFIA3,3585
HRC,2100
TRPM4,3645
SLC6A16,2211
CD37,846
TEAD2,1344
DKKL1,729
KASH5,1689
PTH2,303
GFY,1557
SLC17A7,1683
PIH1D1,873
ALDH16A1,2409
FLT3LG,708
RPL13A,612
RPS11,477
FCGRT,1098
RCN3,987
NOSIP,906
PRRG2,609
PRR12,6111
RRAS,657
SCAF1,3939
IRF3,1284
BCL2L12,1005
PRMT1,1062
ADM5,462
CPT1C,2412
TSKS,1779
FUZ,1257
MED25,2391
PTOV1,1251
PNKP,1566
AKT1S1,771
TBC1D17,1947
IL4I1,1770
NUP62,1569
ATF5,849
SIGLEC11,2097
VRK3,1425
ZNF473,2616
IZUMO2,666
MYH14,6012
KCNC3,2274
NAPSA,1263
NR1H2,1383
POLD1,3324
SPIB,516
MYBPC2,3426
GARIN5A,696
EMC10,789
JOSD2,567
ASPDH,852
LRRC4B,2142
SYT3,1773
C19orf81,597
SHANK1,6486
CLEC11A,972
GPR32,1071
,111
ACP4,1281
C19orf48,354
KLK1,789
KLK15,771
KLK3,786
KLK2,786
KLK4,765
KLK5,882
KLK6,735
KLK7,762
KLK8,783
,753
KLK9,753
KLK10,831
KLK11,753
KLK12,747
KLK13,834
KLK14,804
CTU1,1047
SIGLEC9,1392
SIGLEC7,1404
CD33,1095
SIGLECL1,594
IGLON5,1011
VSIG10L,2604
ETFB,768
,132
CLDND2,504
NKG7,498
LIM2,648
C19orf84,561
SIGLEC10,2094
SIGLEC8,1500
SIGLEC12,1788
SIGLEC6,1362
ZNF175,2136
SIGLEC5,1656
SIGLEC5,1656
SIGLEC14,1191
SPACA6,975
HAS1,1737
FPR1,1053
FPR2,1056
FPR3,1062
ZNF577,1458
ZNF649,1518
ZNF613,1854
ZNF350,1599
ZNF615,2196
ZNF614,1758
ZNF432,1959
ZNF841,2775
ZNF616,2346
ZNF836,2811
PPP2R1A,1770
ZNF766,1407
ZNF480,1608
ZNF610,1389
ZNF880,1734
ZNF528,1887
ZNF534,2025
ZNF578,1773
ZNF808,2712
ZNF701,1398
ZNF83,1551
ZNF611,2118
ZNF600,2376
ZNF28,2157
ZNF468,1569
ZNF320,1530
ZNF888,2157
ZNF816-ZNF321P,702
ZNF816,1956
ERVV-1,1434
ERVV-2,1608
ZNF160,2457
ZNF415,1668
ZNF347,2520
ZNF665,2037
ZNF677,1755
VN1R2,1188
VN1R4,906
ZNF845,2913
ZNF525,1440
ZNF765,1572
ZNF761,2241
ZNF813,1854
ZNF331,1392
DPRX,576
NLRP12,3186
MYADM,969
PRKCG,2094
CACNG7,828
CACNG8,1278
CACNG6,783
VSTM1,711
TARM1,816
OSCAR,861
NDUFA3,255
TFPT,762
PRPF31,1500
CNOT3,2262
LENG1,795
TMC4,2121
MBOAT7,1419
TSEN34,933
RPS9,585
LILRB3,1896
LILRA6,1446
LILRB5,1773
LILRB2,1797
LILRA5,900
LILRA4,1500
LAIR1,864
TTYH1,1353
LENG8,2403
LENG9,1437
CDC42EP5,447
LAIR2,459
LILRA2,1401
LILRA1,1470
LILRB1,1959
LILRB4,1347
KIR3DL3,1233
KIR2DL3,1026
KIR2DL1,1047
KIR2DL4,1029
KIR3DL1,1335
KIR3DL2,1368
FCAR,864
NCR1,915
NLRP7,3030
NLRP2,3189
GP6,1863
RDH13,996
EPS8L1,2172
PPP1R12C,2349
TNNT1,837
TNNI3,633
DNAAF3,1767
SYT5,1161
PTPRH,3348
TMEM86B,681
PPP6R1,2646
HSPBP1,1080
BRSK1,2337
TMEM150B,702
KMT5C,1389
COX6B2,267
GARIN5B,2769
IL11,600
TMEM190,534
TMEM238,531
RPL28,414
UBE2S,669
SHISA7,1617
ISOC2,618
C19orf85,669
ZNF628,3180
NAT14,621
SSC5D,4722
SBK2,1047
SBK3,1080
ZNF579,1689
FIZ1,1491
ZNF524,795
ZNF865,3180
ZNF784,972
ZNF580,519
ZNF581,594
CCDC106,843
U2AF2,1428
EPN1,1731
NLRP9,2976
RFPL4A,864
RFPL4AL1,864
NLRP11,3102
NLRP4,2985
NLRP13,3132
NLRP8,3147
NLRP5,3603
ZNF787,1149
ZNF444,984
GALP,351
ZSCAN5B,1488
ZSCAN5C,1491
ZSCAN5A,1491
EDDM13,486
ZNF582,1554
ZNF583,1710
ZNF667,1833
ZNF471,1881
ZFP28,2607
ZNF470,2154
ZNF71,1650
SMIM17,357
ZNF835,1614
ZIM2,1584
PEG3,4767
USP29,2769
ZIM3,1419
DUXA,615
ZNF264,1884
AURKC,930
ZNF805,1884
ZNF460,1689
ZNF543,1803
ZNF304,1980
TRAPPC2B,423
ZNF547,1209
ZNF548,1602
ZNF17,1989
ZNF749,2337
,399
VN1R1,1062
ZNF772,1470
,180
ZNF419,1437
ZNF773,1329
ZNF549,1884
ZNF550,1269
ZNF416,1785
ZIK1,1464
ZNF530,1800
ZNF134,1284
ZNF211,1734
ZSCAN4,1302
ZNF551,2013
ZNF154,1314
ZNF671,1605
ZNF776,1557
ZNF586,1209
ZNF552,1224
ZNF587B,1902
ZNF587,1728
ZNF814,2568
,129
ZNF417,1728
ZNF418,2031
ZNF256,1884
C19orf18,648
ZNF606,2379
ZSCAN1,1227
ZNF135,2013
ZSCAN18,1533
ZNF329,1626
ZNF274,1962
,219
ZNF544,2148
ZNF8,1728
ERVK3-1,330
ZSCAN22,1476
A1BG,1488
ZNF497,1497
ZNF837,1596
RPS5,615
RNF225,990
ZNF584,1266
ZNF132,2121
ZNF324B,1635
ZNF324,1662
ZNF446,1353
SLC27A5,2073
ZBTB45,1536
TRIM28,2508
CHMP2A,669
UBE2M,552
MZF1,2205
FAM110C,966
SH3YL1,1029
ACP1,477
ALKAL2,459
TMEM18,423
SNTG2,1620
TPO,2802
PXDN,4440
MYT1L,3555
EIPR1,1164
TRAPPC12,2208
ADI1,540
,861
RNASEH1,861
RPS7,585
COLEC11,816
ALLC,1176
DCDC2C,1095
SOX11,1326
CMPK2,1350
RSAD2,1086
RNF144A,879
ID2,405
KIDINS220,5316
MBOAT2,1563
ASAP2,3021
ITGB1BP1,603
CPSF3,2055
IAH1,747
ADAM17,2475
YWHAQ,738
TAF1B,1767
GRHL1,1857
KLF11,1539
CYS1,477
RRM2,1170
HPCAL1,582
ODC1,1386
NOL10,2067
ATP6V1C2,1146
PDIA6,1323
KCNF1,1485
C2orf50,489
SLC66A3,609
ROCK2,4167
E2F6,846
GREB1,5850
NTSR2,1233
LPIN1,2673
TRIB2,1032
LRATD1,879
NBAS,7116
DDX1,2223
MYCN,1395
CYRIA,972
RAD51AP2,3480
VSNL1,576
SMC6,3276
GEN1,2727
KCNS3,1476
RDH14,1011
NT5C1B-RDH14,1809
NT5C1B,1833
OSR1,801
TTC32,456
WDR35,3513
MATN3,1461
LAPTM4A,702
SDC1,933
PUM2,3195
RHOB,591
HS1BP3,1179
GDF7,1353
LDAH,978
APOB,13692
TDRD15,5805
ATAD2B,4377
UBXN2A,780
MFSD2B,1515
WDCP,2166
FKBP1B,327
SF3B6,378
TP53I3,999
PFN4,390
FAM228B,975
,639
FAM228A,621
ITSN2,5094
NCOA1,4200
PTRHD1,423
CENPO,903
ADCY3,3435
DNAJC27,822
EFR3B,2454
POMC,804
DNMT3A,2739
DTNB,1884
ASXL2,4308
KIF3C,2382
RAB10,603
GAREM2,2625
HADHA,2292
HADHB,1425
ADGRF3,2622
SELENOI,1194
DRC1,2223
OTOF,5994
CIB4,558
KCNK3,1185
SLC35F6,1116
CENPA,423
DPYSL5,1695
MAPRE3,846
TMEM214,2070
AGBL5,2661
OST4,114
EMILIN1,3051
KHK,897
CGREF1,957
ABHD1,1218
PREB,1254
PRR30,1239
TCF23,645
SLC5A6,1908
ATRAID,855
CAD,6678
SLC30A3,1167
TRIM54,1077
UCN,375
MPV17,531
GTF3C2,2736
EIF2B4,1572
SNX17,1413
ZNF513,1626
PPM1G,1641
NRBP1,1608
KRTCAP3,723
IFT172,5250
FNDC4,705
GCKR,1878
C2orf16,5955
ZNF512,1704
CCDC121,837
GPN1,1125
SUPT7L,1245
SLC4A1AP,2391
MRPL33,198
RBKS,969
BABAM2,1152
FOSL2,981
PLB1,4377
PPP1CB,984
SPDYA,942
TRMT61B,1434
WDR43,2034
PCARE,3867
CLIP4,2118
ALK,4863
YPEL5,366
LBH,318
LCLAT1,1131
CAPN13,2010
GALNT14,1659
CAPN14,2055
EHD3,1608
XDH,4002
SRD5A2,765
MEMO1,894
DPY30,300
SPAST,1851
SLC30A6,1386
YIPF4,735
BIRC6,14574
TTC27,2532
LTBP1,4188
RASGRP3,2073
FAM98A,1557
CRIM1,3111
FEZ2,1143
VIT,2082
STRN,2343
HEATR5B,6216
GPATCH11,792
EIF2AK2,1656
SULT6B1,912
CEBPZOS,243
CEBPZ,3165
NDUFAF7,1326
PRKD3,2673
QPCT,1086
CDC42EP3,765
RMDN2,1233
CYP1B1,1632
ATL2,1740
HNRNPLL,1629
GALM,1029
SRSF7,717
GEMIN6,504
DHX57,4161
MORN2,456
ARHGEF33,2613
SOS1,4002
CDKL4,948
MAP4K3,2685
TMEM178A,894
THUMPD2,1512
SLC8A1,2922
PKDCC,1482
EML4,2946
COX7A2L,345
KCNG3,1311
MTA3,1785
OXER1,1272
HAAO,861
ZFP36L2,1485
THADA,5862
PLEKHH2,4482
C1GALT1C1L,948
DYNC2LI1,1056
ABCG5,1956
ABCG8,2022
LRPPRC,4185
,1155
PPM1B,1440
SLC3A1,2058
PREPL,2184
CAMKMT,972
SIX3,999
SIX2,876
SRBD1,2988
PRKCE,2214
EPAS1,2613
TMEM247,657
ATP6V1E2,681
RHOQ,618
PIGF,660
CRIPT,306
SOCS5,1611
MCFD2,441
TTC7A,2577
STPG4,747
CALM2,450
EPCAM,945
MSH2,2805
KCNK12,1293
MSH6,4083
FBXO11,2532
